service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA+b07h3","0","0","0","1","0","1","1","20181209","20191214"
"TA+b0yoq","1","1","1","1","1","0","0","20181209","20191214"
"TA+b05o1","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0yos","0","0","0","1","0","1","1","20181209","20191214"
"TA+b0cq5","0","0","0","1","0","0","0","20181209","20191214"
"TA+b10ks","1","0","1","0","1","0","0","20181209","20191214"
"TA+b0zat","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0yoh","1","1","1","1","1","0","1","20181209","20191214"
"TA+b0oq1","0","0","0","1","0","1","0","20181209","20191214"
"TA+b0yor","1","1","1","1","1","0","0","20181209","20191214"
"TA+b02n0","1","1","1","1","1","1","1","20181209","20191214"
"TA+b05ne","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0sn0","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0piq","0","0","0","0","1","1","0","20181209","20191214"
"TA+b09qo","0","0","0","0","0","1","0","20181209","20191214"
"TA+b005e","0","0","0","0","0","1","1","20181209","20191214"
"TA+b019y","0","0","1","0","0","0","0","20181209","20191214"
"TA+b11zy","0","0","0","0","1","1","0","20181209","20191214"
"TA+b11zz","1","1","1","0","0","1","1","20181209","20191214"
"TA+b05nb","0","0","0","1","1","0","0","20181209","20191214"
"TA+b03oq","1","1","1","0","0","0","0","20181209","20191214"
"TA+b01rm","0","0","0","1","0","0","0","20181209","20191214"
